"leases","price","likes","year_release","period"
1,1.49,0,2006,280
1,1.49,0,2006,287
0,1.49,0,2006,294
0,1.49,0,2006,301
7,2.99,1,2009,364
1,2.99,0,2009,371
1,2.99,1,2009,378
4,2.99,4,2009,384
24,2.99,6,2002,336
15,2.99,2,2002,343
4,2.99,0,2002,350
0,2.99,1,2002,357
2,3.99,2,2009,364
4,3.99,0,2009,371
5,3.99,0,2009,378
2,3.99,3,2009,384
48,1.99,4,2009,224
49,1.99,11,2009,231
45,1.99,7,2009,238
29,1.99,6,2009,245
29,1.99,6,2001,224
15,1.99,3,2001,231
19,1.99,6,2001,238
23,1.99,8,2001,245
39,2.99,23,2007,336
81,2.99,43,2007,343
57,2.99,29,2007,350
85,2.99,43,2007,357
64,2.99,33,2007,364
55,2.99,39,2007,371
67,2.99,45,2007,378
46,2.99,37,2007,384
14,2.99,2,2008,336
11,2.99,2,2008,343
3,2.99,0,2008,350
3,2.99,1,2008,357
28,2.99,1,2007,252
12,2.99,1,2007,259
11,2.99,1,2007,266
9,2.99,1,2007,273
52,3.99,12,2007,308
75,3.99,18,2007,315
79,3.99,22,2007,322
39,3.99,10,2007,329
46,3.99,14,2007,336
53,3.99,11,2007,343
56,3.99,24,2007,350
99,3.99,33,2007,357
51,3.99,9,2007,364
8,3.99,1,2007,371
35,3.99,22,2007,378
4,3.99,3,2007,384
21,3.99,7,2009,252
21,3.99,1,2009,259
23,3.99,1,2009,266
23,3.99,0,2009,273
0,1.49,0,2005,364
0,1.49,0,2005,371
1,1.49,0,2005,378
1,1.49,0,2005,384
0,2.99,0,2003,224
0,2.99,0,2003,231
1,2.99,0,2003,238
1,2.99,0,2003,245
216,3.99,63,2011,252
247,3.99,96,2011,259
176,3.99,75,2011,266
143,3.99,62,2011,273
237,3.99,98,2011,280
187,3.99,74,2011,287
109,3.99,38,2011,294
168,3.99,86,2011,301
140,3.99,69,2011,308
103,3.99,42,2011,315
127,3.99,41,2011,322
129,3.99,63,2011,329
74,3.99,13,2011,224
75,3.99,12,2011,231
15,3.99,4,2011,238
11,3.99,0,2011,245
14,3.99,9,2011,252
10,3.99,2,2011,259
20,3.99,3,2011,266
14,3.99,2,2011,273
6,3.99,1,2011,308
8,3.99,2,2011,315
72,3.99,17,2011,322
73,3.99,14,2011,329
17,1.99,3,2009,224
12,1.99,3,2009,231
19,1.99,4,2009,238
18,1.99,4,2009,245
17,1.99,3,2009,252
11,1.99,2,2009,259
19,1.99,5,2009,266
18,1.99,4,2009,273
11,1.99,1,2009,280
20,1.99,6,2009,287
9,1.99,4,2009,294
12,1.99,1,2009,301
3,1.49,0,2005,252
2,1.49,0,2005,259
0,1.49,0,2005,266
2,1.49,0,2005,273
91,3.99,7,2009,308
112,3.99,46,2009,315
57,3.99,20,2009,322
1,3.99,0,2009,329
35,3.99,11,2009,336
27,3.99,11,2009,343
25,3.99,12,2009,350
4,3.99,2,2009,357
28,3.99,7,2009,364
35,3.99,18,2009,371
16,3.99,7,2009,378
17,3.99,12,2009,384
6,1.99,0,2008,280
2,1.99,1,2008,287
6,1.99,1,2008,294
8,1.99,0,2008,301
4,1.99,0,2003,308
7,1.99,0,2003,315
6,1.99,1,2003,322
11,1.99,1,2003,329
15,3.99,1,2012,364
11,3.99,1,2012,371
